"Order Number",SKU,Price,Quantity,"Discount Percent","Discount Amount",Amount,"Brand ID of SKU"
1210000420,154606,60.0000,1,,0.0000,60.0000,
1210000420,155340,36.0000,5,,0.0000,180.0000,
1210000420,141001PS1,180.0000,5,,0.0000,900.0000,
1210000420,153263,59.5000,1,,0.0000,59.5000,
1210000420,153554,37.4000,1,,0.0000,37.4000,
1210000419,156397,29.0000,5,,0.0000,145.0000,
1210000418,152734,136.5000,3,,0.0000,409.5000,
1210000417,152734,136.5000,4,,0.0000,546.0000,
1210000416,156217,155.0000,40,,0.0000,"6,200.0000",
1210000415,152576PS2C,260.0000,2,,0.0000,520.0000,
1210000406-1,141001PS1,180.0000,1,,0.0000,180.0000,
1210000406-1,140911,46.7500,1,,0.0000,46.7500,
1210000406-1,156669,180.0000,2,,0.0000,360.0000,
1210000406-1,141001WT1,180.0000,2,,0.0000,360.0000,
1210000406-1,153554,37.4000,4,,0.0000,149.6000,
1210000406-1,152734,136.5000,1,,0.0000,136.5000,
1210000413,121565,446.0000,2,,0.0000,892.0000,
1210000412,152574PS4M,520.0000,1,,0.0000,520.0000,
1210000411,153576PS,0.0000,6,,0.0000,0.0000,
1210000411,153576,144.0000,9,,0.0000,"1,296.0000",
1210000410,153576PS,0.0000,6,,0.0000,0.0000,
1210000410,153576,144.0000,9,,0.0000,"1,296.0000",
1210000409,153576PS,0.0000,6,,0.0000,0.0000,
1210000409,153576,144.0000,9,,0.0000,"1,296.0000",
1210000408,152734,136.5000,3,,0.0000,409.5000,
1210000407,152575,273.0000,2,,0.0000,546.0000,
1210000407,152576PSMC,260.0000,1,,0.0000,260.0000,
1210000406,141001PS1,180.0000,1,,0.0000,180.0000,
1210000406,154825,46.7500,1,,0.0000,46.7500,
1210000406,156669,180.0000,2,,0.0000,360.0000,
1210000406,141001WT1,180.0000,2,,0.0000,360.0000,
1210000406,153554,37.4000,4,,0.0000,149.6000,
1210000406,152734,136.5000,1,,0.0000,136.5000,
1210000405,154393,169.0000,1,,0.0000,169.0000,
1210000404,155673,110.0000,1,,0.0000,110.0000,
1210000404,141001WT1,180.0000,1,,0.0000,180.0000,
1210000404,141001AD1,180.0000,1,,0.0000,180.0000,
1210000404,154606,60.0000,1,,0.0000,60.0000,
1210000403,152575,273.0000,1,,0.0000,273.0000,
1210000402,151917,113.6200,1,,0.0000,113.6200,
1210000402,156211,75.6300,1,,0.0000,75.6300,
1210000402,155066,65.4400,1,,0.0000,65.4400,
1210000402,156807,46.7200,1,,0.0000,46.7200,
1210000402,151922,122.0000,1,,0.0000,122.0000,
1210000401,152576PS2M,260.0000,1,,0.0000,260.0000,
1210000400,141001FP,180.0000,1,,0.0000,180.0000,
1210000400,141001AD1,180.0000,2,,0.0000,360.0000,
1210000399,156723,595.0000,1,,0.0000,595.0000,
1210000398,152733,80.0000,2,,0.0000,160.0000,
1210000397,153576,144.0000,4,,0.0000,576.0000,
1210000396,152734,136.5000,3,,0.0000,409.5000,
1210000395,152734,136.5000,2,,0.0000,273.0000,
1210000394,153576,144.0000,16,,0.0000,"2,304.0000",
1210000393,156733,795.0000,1,,0.0000,795.0000,
1210000392,153576,144.0000,2,,0.0000,288.0000,
1210000391,154556,150.0000,1,,0.0000,150.0000,
1210000391,156733,795.0000,1,,0.0000,795.0000,
1210000391,151888,75.0000,1,,0.0000,75.0000,
1210000390,156397,29.0000,10,,0.0000,290.0000,
1210000389,152734,136.5000,1,,0.0000,136.5000,
1210000388,121565,446.0000,1,,0.0000,446.0000,
1210000387,152734,136.5000,2,,0.0000,273.0000,
1210000386,152734,136.5000,2,,0.0000,273.0000,
1210000385,153576,144.0000,10,,0.0000,"1,440.0000",
1210000384,141001PS1,180.0000,1,,0.0000,180.0000,
1210000383,153576PS,0.0000,2,,0.0000,0.0000,
1210000383,153576,144.0000,4,,0.0000,576.0000,
1210000382,152734,136.5000,12,,0.0000,"1,638.0000",
1210000381,140504BX,"1,240.0000",1,,0.0000,"1,240.0000",
1210000381,155823,761.2000,1,,0.0000,761.2000,
1210000380,157320,300.0000,1,,0.0000,300.0000,
1210000379,154394,335.0000,1,35.0000,117.2500,335.0000,
1210000378,153576PS,0.0000,2,,0.0000,0.0000,
1210000378,153576,144.0000,4,,0.0000,576.0000,
1210000377,153576PS,0.0000,2,,0.0000,0.0000,
1210000377,153576,144.0000,4,,0.0000,576.0000,
1210000376,153576PS,0.0000,2,,0.0000,0.0000,
1210000376,153576,144.0000,4,,0.0000,576.0000,
1210000375,151899,127.0000,1,35.0000,44.4500,127.0000,
1210000375,154557,599.0000,1,35.0000,209.6500,599.0000,
1210000375,154556,150.0000,1,35.0000,52.5000,150.0000,
1210000375,151896,129.0000,1,35.0000,45.1500,129.0000,
1210000375,151886,140.0000,1,35.0000,49.0000,140.0000,
1210000375,154507,230.0000,1,35.0000,80.5000,230.0000,
1210000374,154393,169.0000,1,35.0000,59.1500,169.0000,
1210000373,141001FP,180.0000,1,,0.0000,180.0000,
1210000372,141001FS,540.0000,1,,0.0000,540.0000,
1210000372,152228BX,475.0000,1,,0.0000,475.0000,
1210000371,153576,144.0000,2,,0.0000,288.0000,
1210000371,153576PS,0.0000,1,,0.0000,0.0000,
1210000370,156439,750.0000,1,,0.0000,750.0000,
1210000369,154393,169.0000,1,35.0000,59.1500,169.0000,
1210000369,151896,129.0000,1,35.0000,45.1500,129.0000,
1210000369,155867,495.0000,1,35.0000,173.2500,495.0000,
1210000369,154394,335.0000,1,35.0000,117.2500,335.0000,
1210000369,154412,349.0000,1,35.0000,122.1500,349.0000,
1210000369,154507,230.0000,1,35.0000,80.5000,230.0000,
1210000368,141001FS,540.0000,1,,0.0000,540.0000,
1210000367,152734,136.5000,2,,0.0000,273.0000,
1210000366,152734,136.5000,2,,0.0000,273.0000,
1210000365,141001AD1,180.0000,1,,0.0000,180.0000,
1210000365,141001FP,180.0000,1,,0.0000,180.0000,
1210000365,141001WT1,180.0000,1,,0.0000,180.0000,
1210000364,153576,144.0000,10,,0.0000,"1,440.0000",
1210000364,153576PS,0.0000,5,,0.0000,0.0000,
1210000363,157208,600.0000,1,,0.0000,600.0000,
1210000362,157320,300.0000,1,,0.0000,300.0000,
1210000361,121565,446.0000,1,,0.0000,446.0000,
1210000361,PS121565,0.0000,1,,0.0000,0.0000,
1210000360,121565,446.0000,1,,0.0000,446.0000,
1210000360,PS121565,0.0000,1,,0.0000,0.0000,
1210000359,157320,300.0000,1,,0.0000,300.0000,
1210000358,141001FP,180.0000,1,,0.0000,180.0000,
1210000358,141001WT1,180.0000,1,,0.0000,180.0000,
1210000357,157208,600.0000,1,,0.0000,600.0000,
1210000356,157320,300.0000,1,,0.0000,300.0000,
1210000355,155821,418.9500,1,,0.0000,418.9500,
1210000354,153576PS,0.0000,10,,0.0000,0.0000,
1210000354,153576,144.0000,20,,0.0000,"2,880.0000",
1210000353,153576PS,0.0000,1,,0.0000,0.0000,
1210000353,153576,144.0000,2,,0.0000,288.0000,
1210000352,157320,300.0000,1,,0.0000,300.0000,
1210000351,155879,269.0000,1,35.0000,94.1500,269.0000,
1210000351,154393,169.0000,1,35.0000,59.1500,169.0000,
1210000350,151977,142.2300,2,,284.4600,284.4600,
1210000350,152364,140.0000,2,,280.0000,280.0000,
1210000349,155066,65.4400,1,,65.4400,65.4400,
1210000349,20170304BG,526.5000,1,,526.5000,526.5000,
1210000348,141691,199.0000,1,,181.1800,199.0000,
1210000348,156209,308.0000,1,,280.4300,308.0000,
1210000348,151972,152.0000,1,,138.3900,152.0000,
1210000347,156810,58.5400,1,,58.5400,58.5400,
1210000347,151917,113.6200,1,,113.6200,113.6200,
1210000347,151923,207.0000,1,,207.0000,207.0000,
1210000347,156216,143.6800,1,,143.6800,143.6800,
1210000347,155066,65.4400,1,,65.4400,65.4400,
1210000346,20170302BG,465.6400,1,,465.6400,465.6400,
1210000346,141690,109.0000,1,,109.0000,109.0000,
1210000345,152734,136.5000,6,,0.0000,819.0000,
1210000344,141001AD1,180.0000,1,,0.0000,180.0000,
1210000344,141001WT1,180.0000,2,,0.0000,360.0000,
1210000343,157320,300.0000,1,,0.0000,300.0000,
1210000342,141001WT1,180.0000,8,,0.0000,"1,440.0000",
1210000341,141691,199.0000,1,,191.3200,199.0000,
1210000341,20170301BG,425.0800,1,,408.6800,425.0800,
1210000340,152229-153261,222.5000,1,,0.0000,222.5000,
1210000340,141001WT1,180.0000,1,,0.0000,180.0000,
1210000339,152734,136.5000,4,,0.0000,546.0000,
1210000338,152734,136.5000,4,,0.0000,546.0000,
1210000337,152734,136.5000,4,,0.0000,546.0000,
1210000336,154915,132.5000,3,,0.0000,397.5000,
1210000336,141743,275.0000,3,,0.0000,825.0000,
1210000335,154915,132.5000,6,,0.0000,795.0000,
1210000335,141743,275.0000,6,,0.0000,"1,650.0000",
1210000334,153576,144.0000,10,,0.0000,"1,440.0000",
1210000333,140504BX,"1,240.0000",1,,0.0000,"1,240.0000",
1210000332,151904,75.0000,1,35.0000,26.2500,75.0000,
1210000332,154394,335.0000,1,35.0000,117.2500,335.0000,
1210000332,151887,82.0000,1,35.0000,28.7000,82.0000,
1210000332,156729,745.0000,1,35.0000,260.7500,745.0000,
1210000331,156209,308.0000,1,,0.0000,308.0000,
1210000331,156209,308.0000,1,,0.0000,308.0000,
1210000330,153576,144.0000,2,,0.0000,288.0000,
1210000329,157082,190.0000,180,,0.0000,"34,200.0000",
1210000328,157082,190.0000,180,,0.0000,"34,200.0000",
1210000327,153576,144.0000,10,,0.0000,"1,440.0000",
1210000326,156727,795.0000,1,35.0000,278.2500,795.0000,
1210000325,141001AD1,180.0000,1,,0.0000,180.0000,
1210000325,141001WT1,180.0000,1,,0.0000,180.0000,
1210000325,141001FP,180.0000,1,,0.0000,180.0000,
1210000324,153576,144.0000,4,,0.0000,576.0000,
1210000323,157208,600.0000,20,,0.0000,"12,000.0000",
1210000322,157082,190.0000,1,,0.0000,190.0000,
1210000321,PS140309,0.0000,1,,0.0000,0.0000,
1210000321,140309,259.0000,4,,0.0000,"1,036.0000",
1210000320,153576PS,0.0000,1,,0.0000,0.0000,
1210000320,153576,144.0000,2,,0.0000,288.0000,
1210000319,152574PS,520.0000,1,,0.0000,520.0000,
1210000318,155862BX,650.0000,1,,0.0000,650.0000,
1210000318,153261,80.0000,1,,0.0000,80.0000,
1210000318,152229-153261,222.5000,1,,0.0000,222.5000,
1210000318,154915PS-3,397.5000,1,,0.0000,397.5000,
1210000317,152734,136.5000,5,,0.0000,682.5000,
1210000316,153576,144.0000,4,,0.0000,576.0000,
1210000315,152576PSMC,260.0000,2,,0.0000,520.0000,
1210000314,141001PS1,180.0000,2,,0.0000,360.0000,
1210000313,156397,29.0000,10,,0.0000,290.0000,
1210000312,141001AD1,180.0000,2,,0.0000,360.0000,
1210000311,151896,129.0000,1,35.0000,45.1500,129.0000,
1210000311,151888,75.0000,1,35.0000,26.2500,75.0000,
1210000311,151899,127.0000,1,35.0000,44.4500,127.0000,
1210000310,156667,15.0000,20,,0.0000,300.0000,
1210000309,156209,308.0000,2,,0.0000,616.0000,
1210000308,141001WT1,180.0000,10,,0.0000,"1,800.0000",
1210000307,152575,273.0000,1,,0.0000,273.0000,
1210000306,152734,136.5000,2,,0.0000,273.0000,
1210000305,153576PS,0.0000,2,,0.0000,0.0000,
1210000305,153576,144.0000,4,,0.0000,576.0000,
1210000304,141001EPCM,180.0000,1,,0.0000,180.0000,
1210000304,PS121563,0.0000,1,,0.0000,0.0000,
1210000304,141001PS1,180.0000,1,,0.0000,180.0000,
1210000303,156733,795.0000,1,35.0000,278.2500,795.0000,
1210000302,156217,155.0000,30,,0.0000,"4,650.0000",
1210000301,152734,136.5000,4,,0.0000,546.0000,
1210000300,153576,144.0000,10,,0.0000,"1,440.0000",
1210000299,153576,144.0000,2,,0.0000,288.0000,
1210000298,152575,273.0000,2,,0.0000,546.0000,
1210000297,151888,75.0000,1,35.0000,26.2500,75.0000,
1210000297,151896,129.0000,1,35.0000,45.1500,129.0000,
1210000297,151904,75.0000,1,35.0000,26.2500,75.0000,
1210000297,151899,127.0000,1,35.0000,44.4500,127.0000,
1210000297,154393,169.0000,1,35.0000,59.1500,169.0000,
1210000296,153576,144.0000,10,,0.0000,"1,440.0000",
1210000295,PS121563,0.0000,3,,0.0000,0.0000,
1210000295,141001EPCM,180.0000,3,,0.0000,540.0000,
1210000294,157320,300.0000,1,,0.0000,300.0000,
1210000293,153576,144.0000,16,,0.0000,"2,304.0000",
1210000292,152576PSMC,260.0000,1,,0.0000,260.0000,
1210000291,153576PS,0.0000,6,,0.0000,0.0000,
1210000291,153576,144.0000,12,,0.0000,"1,728.0000",
1210000290,152576PS,260.0000,2,,0.0000,520.0000,
1210000289,153576,144.0000,10,,0.0000,"1,440.0000",
1210000288,141001AD1,180.0000,36,,0.0000,"6,480.0000",
1210000287,141001EPLF,180.0000,2,,0.0000,360.0000,
1210000287,PS140309,0.0000,1,,0.0000,0.0000,
1210000286,156397,29.0000,11,,0.0000,319.0000,
1210000285,153576,144.0000,3,,0.0000,432.0000,
1210000284,157320,300.0000,1,,0.0000,300.0000,
1210000283,152734,136.5000,1,,0.0000,136.5000,
1210000282,157208,600.0000,1,,0.0000,600.0000,
1210000281,141675-154606-140264-155673-141001,649.0000,5,,0.0000,"3,245.0000",
1210000280,157320,300.0000,8,0.0000,0.0000,"2,400.0000",
1210000280,157320PS,0.0000,1,0.0000,0.0000,0.0000,
1210000279,141001WT1,180.0000,1,,0.0000,180.0000,
1210000279,141675-154606-140264-155673-141001,649.0000,4,,0.0000,"2,596.0000",
1210000278,141001WT1,180.0000,1,,0.0000,180.0000,
1210000278,141001AD1,180.0000,1,,0.0000,180.0000,
1210000277,153576PS,0.0000,3,,0.0000,0.0000,
1210000277,153576,144.0000,6,,0.0000,864.0000,
1210000276,141001AD1,180.0000,1,,0.0000,180.0000,
1210000275,153576,144.0000,4,,0.0000,576.0000,
1210000274,155879,269.0000,1,35.0000,94.1500,269.0000,
1210000274,151888,75.0000,1,35.0000,26.2500,75.0000,
1210000274,151887,82.0000,1,35.0000,28.7000,82.0000,
1210000274,154393,169.0000,1,35.0000,59.1500,169.0000,
1210000274,154392,270.0000,5,35.0000,472.5000,"1,350.0000",
1210000274,154412,349.0000,1,35.0000,122.1500,349.0000,
1210000274,154394,335.0000,1,35.0000,117.2500,335.0000,
1210000273,152576PSMC,260.0000,1,,0.0000,260.0000,
1210000272,152574PSMC,520.0000,1,,0.0000,520.0000,
1210000271,156397,29.0000,11,,0.0000,319.0000,
1210000270,141743,275.0000,2,,0.0000,550.0000,
1210000269,152576PS,260.0000,1,,0.0000,260.0000,
1210000269,141001WT1,180.0000,1,,0.0000,180.0000,
1210000268,152734,136.5000,5,,0.0000,682.5000,
1210000268,156397,29.0000,5,,0.0000,145.0000,
1210000267,PS140309,0.0000,1,35.0000,0.0000,0.0000,
1210000267,141001EPLF,180.0000,1,35.0000,0.0000,180.0000,
1210000267,151902,270.0000,1,35.0000,94.5000,270.0000,
1210000267,140651,335.4500,1,35.0000,0.0000,335.4500,
1210000266,152575,273.0000,1,,0.0000,273.0000,
1210000265,PS121563,0.0000,1,,0.0000,0.0000,
1210000265,141001EPCM,180.0000,1,,0.0000,180.0000,
1210000264,153576PS,0.0000,7,,0.0000,0.0000,
1210000264,153576,144.0000,14,,0.0000,"2,016.0000",
1210000263,153576PS,0.0000,7,,0.0000,0.0000,
1210000263,153576,144.0000,14,,0.0000,"2,016.0000",
1210000262,153576PS,0.0000,7,,0.0000,0.0000,
1210000262,153576,144.0000,14,,0.0000,"2,016.0000",
1210000261,154555,449.0000,1,35.0000,157.1500,449.0000,
1210000261,154393,169.0000,1,35.0000,59.1500,169.0000,
1210000261,151888,75.0000,1,35.0000,26.2500,75.0000,
1210000261,154410,299.0000,1,35.0000,104.6500,299.0000,
1210000261,154507,230.0000,1,35.0000,80.5000,230.0000,
1210000261,154556,150.0000,1,35.0000,52.5000,150.0000,
1210000260,PS121563,0.0000,1,,0.0000,0.0000,
1210000260,121563,259.0000,1,,0.0000,259.0000,
1210000259,156397,29.0000,15,,0.0000,435.0000,
1210000258,153261,80.0000,1,,0.0000,80.0000,
1210000258,141001AD1,180.0000,1,,0.0000,180.0000,
1210000257,153576,144.0000,2,,0.0000,288.0000,
1210000256,141001WT1,180.0000,1,,0.0000,180.0000,
1210000255,155862BX,650.0000,1,,0.0000,650.0000,
1210000254,153261,80.0000,6,,0.0000,480.0000,
1210000254,156397,29.0000,2,,0.0000,58.0000,
1210000254,141001WT1,180.0000,1,,0.0000,180.0000,
1210000254,141675-154606-140264-155673-141001,649.0000,4,,0.0000,"2,596.0000",
1210000253,153576PS,0.0000,5,,0.0000,0.0000,
1210000253,153576,144.0000,10,,0.0000,"1,440.0000",
1210000252,153576,144.0000,10,,0.0000,"1,440.0000",
1210000251,157320,300.0000,1,,0.0000,300.0000,
1210000250,157320,300.0000,1,,0.0000,300.0000,
1210000249,PS121565,0.0000,3,,0.0000,0.0000,
1210000249,140310,446.0000,3,,0.0000,"1,338.0000",
1210000248,152734,136.5000,6,,0.0000,819.0000,
1210000248,156397,29.0000,3,,0.0000,87.0000,
1210000247,141001WT1,180.0000,10,,0.0000,"1,800.0000",
1210000247,141001PS1,180.0000,20,,0.0000,"3,600.0000",
1210000246,157320,300.0000,1,,0.0000,300.0000,
1210000245,157208,600.0000,1,,0.0000,600.0000,
1210000244,152365,236.0000,1,,232.8000,236.0000,
1210000244,151938,271.5000,1,,267.8200,271.5000,
1210000244,151970,100.7500,1,,99.3800,100.7500,
1210000243,157320,300.0000,1,,0.0000,300.0000,
1210000242,141001AD1,180.0000,1,,0.0000,180.0000,
1210000242,141001WT1,180.0000,1,,0.0000,180.0000,
1210000241,140309,259.0000,4,,0.0000,"1,036.0000",
1210000241,PS140309,0.0000,4,,0.0000,0.0000,
1210000240,141691,199.0000,2,,398.0000,398.0000,
1210000240,151916,119.3100,3,,357.9300,357.9300,
1210000240,156560,120.0000,1,,120.0000,120.0000,
1210000240,151932,199.0000,1,,199.0000,199.0000,
1210000240,156209,308.0000,2,,616.0000,616.0000,
1210000240,152365,236.0000,3,,708.0000,708.0000,
1210000240,151913,79.7000,1,,79.7000,79.7000,
1210000239,141001PS1,180.0000,6,,0.0000,"1,080.0000",
1210000238,157320,300.0000,1,,0.0000,300.0000,
1210000237,151920,100.0000,4,,385.2300,400.0000,
1210000237,141690,109.0000,1,,104.9800,109.0000,
1210000237,154965,114.0000,1,,109.7900,114.0000,
1210000236,157208,600.0000,5,,0.0000,"3,000.0000",
1210000235,153576PS,0.0000,7,,0.0000,0.0000,
1210000235,153576,144.0000,14,,0.0000,"2,016.0000",
1210000234,153576,144.0000,2,,0.0000,288.0000,
1210000233,PS121565,0.0000,1,,0.0000,0.0000,
1210000233,121563,259.0000,1,,0.0000,259.0000,
1210000233,121565,446.0000,1,,0.0000,446.0000,
1210000233,PS121563,0.0000,1,,0.0000,0.0000,
1210000232,141690,109.0000,1,,109.0000,109.0000,
1210000232,151920,100.0000,4,,400.0000,400.0000,
1210000232,151919,72.0000,1,,72.0000,72.0000,
1210000231,152734,136.5000,3,,0.0000,409.5000,
1210000230,152576PS2M,260.0000,1,,0.0000,260.0000,
1210000229,156217,155.0000,30,,0.0000,"4,650.0000",
1210000228,141001AD1,180.0000,4,,0.0000,720.0000,
1210000227,153576,144.0000,10,,0.0000,"1,440.0000",
1210000226,151971,153.0000,1,,153.0000,153.0000,
1210000226,151972,152.0000,1,,152.0000,152.0000,
1210000226,152364,140.0000,1,,140.0000,140.0000,
1210000226,156809,108.3900,1,,108.3900,108.3900,
1210000225,156809,108.3900,1,,108.3900,108.3900,
1210000225,141691,199.0000,1,,199.0000,199.0000,
1210000225,155066,65.4400,2,,130.8800,130.8800,
1210000225,151922,122.0000,1,,122.0000,122.0000,
1210000224,156328,446.0000,1,,446.0000,446.0000,
1210000224,151977,142.2300,1,,142.2300,142.2300,
1210000223,153576,144.0000,1,,0.0000,144.0000,
1210000222,152365,236.0000,2,,472.0000,472.0000,
1210000222,153087,106.0000,1,,106.0000,106.0000,
1210000221,151970,100.7500,2,,201.5000,201.5000,
1210000221,156209,308.0000,1,,308.0000,308.0000,
1210000221,151918,79.7000,1,,79.7000,79.7000,
1210000220,151923,207.0000,3,,600.0000,621.0000,
1210000219,141001PS1,180.0000,2,,0.0000,360.0000,
1210000219,141001EPCM,0.0000,5,,0.0000,0.0000,
1210000219,156168,65.0000,1,,0.0000,65.0000,
1210000219,156065,44.2000,1,,0.0000,44.2000,
1210000219,PS121563,0.0000,5,,0.0000,0.0000,
1210000218,152734,136.5000,3,,0.0000,409.5000,
1210000217,141001WT1,180.0000,1,,0.0000,180.0000,
1210000216,151938,271.5000,1,,0.0000,271.5000,
1210000216,140504,124.0000,2,,0.0000,248.0000,
1210000215,151930,63.0000,1,,52.6200,63.0000,
1210000215,156809,108.3900,1,,90.5400,108.3900,
1210000215,141690,109.0000,1,,91.0400,109.0000,
1210000215,151972,152.0000,1,,126.9700,152.0000,
1210000215,151977,142.2300,1,,118.8100,142.2300,
1210000215,156216,143.6800,1,,120.0200,143.6800,
1210000214,154249,179.0000,1,,179.0000,179.0000,
1210000214,155066,65.4400,1,,65.4400,65.4400,
1210000214,141691,199.0000,1,,199.0000,199.0000,
1210000214,141690,109.0000,1,,109.0000,109.0000,
1210000213,141001FP,180.0000,1,,0.0000,180.0000,
1210000213,PS140309,0.0000,2,,0.0000,0.0000,
1210000213,141001EPLF,180.0000,2,,0.0000,360.0000,
1210000213,141001WT1,180.0000,1,,0.0000,180.0000,
1210000212,141001WT1,180.0000,1,,0.0000,180.0000,
1210000211,141001EPLF,180.0000,4,,0.0000,720.0000,
1210000211,PS140309,0.0000,4,,0.0000,0.0000,
1210000210,141001EPLF,180.0000,1,,0.0000,180.0000,
1210000210,141001FP,180.0000,1,,0.0000,180.0000,
1210000210,PS140309,0.0000,1,,0.0000,0.0000,
1210000210,PS141001SP,0.0000,1,,0.0000,0.0000,
1210000209,141001EPLF,180.0000,1,,0.0000,180.0000,
1210000209,PS140309,0.0000,1,,0.0000,0.0000,
1210000208,141001FP,180.0000,1,,0.0000,180.0000,
1210000208,PS141001SP,0.0000,1,,0.0000,0.0000,
1210000207,PS140309,0.0000,1,,0.0000,0.0000,
1210000207,141001EPLF,180.0000,1,,0.0000,180.0000,
1210000206,141001EPLF,180.0000,1,,0.0000,180.0000,
1210000206,141001WT1,180.0000,1,,0.0000,180.0000,
1210000206,PS140309,0.0000,1,,0.0000,0.0000,
1210000205,141001FP,180.0000,1,,0.0000,180.0000,
1210000205,141001AD1,180.0000,1,,0.0000,180.0000,
1210000205,PS141001SP,0.0000,1,,0.0000,0.0000,
1210000204,151938,271.5000,1,,0.0000,271.5000,
1210000204,140504,124.0000,2,,0.0000,248.0000,
1210000203,140504,124.0000,2,,0.0000,248.0000,
1210000203,151938,271.5000,1,,0.0000,271.5000,
1210000202,151938,271.5000,1,,0.0000,271.5000,
1210000202,140504,124.0000,2,,0.0000,248.0000,
1210000201,151938,271.5000,1,,0.0000,271.5000,
1210000201,140504,124.0000,2,,0.0000,248.0000,
1210000200,PS140309,0.0000,1,,0.0000,0.0000,
1210000200,141001EPLF,180.0000,1,,0.0000,180.0000,
1210000199,PS2017SF-UMBRELLA,0.0000,1,,0.0000,0.0000,
1210000199,141001FP,180.0000,1,,0.0000,180.0000,
